country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
BRA,1965,56329617.05,21790035117.19,2.808486296,83373530,
BRA,1966,64211635.32,27062716577.9111,2.748117008,85696505,
BRA,1967,66079408.3,30591834053.9653,2.693166598,88035814,
BRA,1968,77271373.16,33875881876.3672,2.635761681,90387079,
BRA,1969,84132709.41,37458898243.8609,2.576986832,92746614,
BRA,1970,93530494.44,42327600098.2412,2.519725049,95113265,
BRA,1971,102357941.2,49204456700.4516,2.460873859,97482920,618000000
BRA,1972,114014328.2,58539008786.3684,2.408584323,99859383,711000000
BRA,1973,132019609.9,79279057730.829,2.37506444,102259497,750000000
BRA,1974,142927313.7,105136007528.76,2.364464303,104706198,785000000
BRA,1975,150513658.4,123709376567.89,2.368908942,107216205,866000000
BRA,1976,154398074.8,152678020452.829,2.373059054,109790938,864000000
BRA,1977,162078338.5,176171284311.761,2.371182563,112425392,1117000000
BRA,1978,175931478.8,200800891870.164,2.369525875,115121153,1332000000
BRA,1979,187155058.6,224969488835.181,2.36685998,117878411,1775000000
BRA,1980,185758330.6,235024598983.261,2.360481344,120694009,1805000000
BRA,1981,170467910.3,263561088977.129,2.355195197,123570327,1873000000
BRA,1982,170789345.3,281682304161.041,2.341853663,126498314,2178000000
BRA,1983,165426960.6,203304515490.795,2.305660293,129448819,2985000000
BRA,1984,167605588.9,209023912696.839,2.24179441,132383568,2852000000
BRA,1985,179936803.4,222942790435.299,2.159941551,135274080,3066000000
BRA,1986,197226217.1,268137224729.722,2.073964874,138108912,3193000000
BRA,1987,205788741.6,294084112392.66,1.994822329,140891602,3565000000
BRA,1988,207562967.6,330397381998.489,1.923234877,143627503,3339000000
BRA,1989,212113643.7,425595310000,1.862959145,146328304,3403000000
BRA,1990,206921120,461951782000,1.811518179,149003223,3859000000
BRA,1991,217227472,602860000000,1.759418174,151648011,3999000000
BRA,1992,218383504,400599250000,1.707335299,154259380,4899000000
BRA,1993,228333216,437798577639.752,1.664858508,156849078,4954000000
BRA,1994,239470720,558111997497.263,1.633793357,159432716,5388000000
BRA,1995,255583376,769305386182.849,1.609715254,162019896,5594000000
BRA,1996,281194784,850426432991.742,1.588837626,164614688,6754000000
BRA,1997,296585256,883199625324.675,1.56372474,167209040,7383000000
BRA,1998,308305720,863723411632.917,1.528963703,169785250,7510000000
BRA,1999,316282440,599388579985.673,1.481112099,172318675,8368000000
BRA,2000,324226040,655420645476.906,1.424167434,174790340,7846000000
BRA,2001,332987400,559372276081.966,1.366957076,177196054,9015000000
BRA,2002,327434832,507962487700.024,1.312744186,179537520,10280000000
BRA,2003,317508448,558319920831.979,1.257382738,181809246,11955000000
BRA,2004,333675144,669316654017.094,1.201294128,184006481,12537000000
BRA,2005,342086472,891630177251.068,1.145880998,186127103,13684000000
BRA,2006,341946368,1107640289615.23,1.090196854,188167356,14960000000
BRA,2007,356918752,1397084349956.35,1.037862037,190130443,18670000000
BRA,2008,380344928,1695824565983.2,0.994311624,192030362,20654000000
BRA,2009,360090776,1667019783585.08,0.961948263,193886508,23840000000
BRA,2010,411240192,2208871646202.82,0.937956738,195713635,33672000000
BRA,2011,430194902.3,2616200980392.16,0.915962656,197514534,34939000000
BRA,2012,460063092.5,2465188674415.03,0.893531058,199287296,40287000000
BRA,2013,493593511.3,2472806919901.67,0.873603191,201035903,46977000000
BRA,2014,519526349.7,2455993625159.37,0.855792023,202763735,58221000000
BRA,2015,512081882,1802214373741.32,0.838848283,204471769,70487000000
