,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
97,HRV,CM.MKT.LCAP.GD.ZS,12.666112058372901,13.4923512174283,30.2425969544066,17.660247177986502,26.3464194854681,28.4624648299038,57.488233122892,116.68241233347601,38.5928298713254,42.4774541516361,42.797191550986796,36.177782884193604,,37.006318131355705,34.760373128977,37.1779245039905,39.1124245583391,41.15140330888,33.6369007758567,
98,HTI,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
99,HUN,CM.MKT.LCAP.GD.ZS,,,19.2117847236461,19.5340194093952,27.508508149393897,28.832887893908502,36.2826487332632,33.0048936897252,11.676893229572402,22.9707541525438,21.1295927210358,13.3038241638776,16.1994396781676,14.6204484023893,10.3254164064779,14.2029926312204,17.6878703204283,22.2978800077726,18.3266000676327,
100,IBD,CM.MKT.LCAP.GD.ZS,,,,36.85724419752479,39.6814302913805,41.218938558644204,55.61801429225571,95.4433012764905,35.9784245070861,66.6660112804406,66.3300055222658,45.716700660672394,49.9104767109901,46.6391404493116,51.96006483234589,59.0108839277503,58.7601872595615,65.98187616375749,50.1353308427018,
101,IBT,CM.MKT.LCAP.GD.ZS,,,,36.5610211361612,39.1619586638183,40.2884828104544,53.797010035331404,92.5341623217161,35.0520101813287,64.7137445576605,64.618642493671,44.6317140549548,48.8943069819744,45.8058065560321,50.861996851086204,57.6557725652441,57.408397788085395,64.92526243333529,49.338216086112496,
102,IDA,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
103,IDB,CM.MKT.LCAP.GD.ZS,,,7.727151269918389,,27.1939118520017,25.8969360630644,23.766339996018,38.5324211768318,16.8479509612122,18.202482618001103,19.1738789131262,13.8027276874248,14.607288831951099,18.4834547586693,16.7599253378012,15.166415854929,17.8041025040765,,,
104,IDN,CM.MKT.LCAP.GD.ZS,16.247930892193,14.3336226195031,15.3668946554687,23.281716735324,28.520297140251497,28.4844557286067,38.09588393752129,48.9784294541295,19.356146093505398,39.834952351150996,47.7275708008012,43.6864933555571,46.6539490275549,37.99064551287879,47.386625279852105,41.03725643787921,45.689249068913,51.2777873146877,46.7068115934101,
105,IDX,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
106,IMN,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
107,IND,CM.MKT.LCAP.GD.ZS,,,,45.926140887386296,54.692515305744706,67.4166440379759,87.09066394951,149.506659206066,53.9834143725925,97.36443059160709,97.38688261737171,55.2471230111931,69.12395109813721,61.335727456333196,76.4199262203373,72.0776522873965,68.4010892405934,87.90924605694191,76.6343494973857,
108,INX,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
109,IRL,CM.MKT.LCAP.GD.ZS,82.00302860108441,68.994973913547,46.8445162521486,51.78229326477899,58.846145547621404,53.90346342152329,70.3494702615113,53.3144474018258,17.9937858679411,25.9360410271221,27.174723248594,45.644541177456894,48.4397377325583,71.3172450079491,55.5053908194596,43.913870501736604,39.873310174924,43.7691887354796,28.799469976560303,
110,IRN,CM.MKT.LCAP.GD.ZS,24.35007222276,5.817554147390539,9.14315621351955,17.938854796191897,22.416149356615602,16.0917977083023,13.6367737192291,12.5428172893503,11.9961080824712,14.2935007881618,17.788325375675498,18.3529707596483,15.194995938254099,73.9763891432558,26.845860605275398,23.1754225618005,26.589150097047803,23.9276801834507,,
111,IRQ,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
112,ISL,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
113,ISR,CM.MKT.LCAP.GD.ZS,50.4317556961761,44.0941842371191,34.7837997609465,55.26603265361171,67.8018830498873,86.0021521795104,104.99721329912501,131.346359899684,49.8398268346195,90.9700505808799,97.2727418307637,60.02197948578,62.9346712286355,69.4723943960519,64.7777461552817,81.35190315003341,67.0898908323578,65.4059537575677,50.58620666539001,
114,ITA,CM.MKT.LCAP.GD.ZS,67.1746205850942,45.1980716593535,37.543936299327505,39.0587428848151,43.7860920464443,42.9643296972829,52.697460028062295,48.52455563753139,21.764026672599396,,,,,,,,,,,
115,JAM,CM.MKT.LCAP.GD.ZS,39.5163113392527,51.4108903984886,62.2748533540181,,,,,,,,29.381137530459,34.6762168844735,,,,,,,,
116,JOR,CM.MKT.LCAP.GD.ZS,,,,,,,,235.373093243762,161.10794356203002,131.765546079324,115.18336155045799,92.95040960907741,85.9629325497397,75.633423964052,70.3423484266362,66.90352617559239,62.6939672431534,58.877872634141,53.8464178824728,
117,JPN,CM.MKT.LCAP.GD.ZS,64.5976282276241,52.620067629623,50.28531345577851,66.4265729097865,73.8850352835313,96.16206432887729,101.847342966681,95.91734539933559,61.84716835519551,63.19709827491771,67.1527774249836,54.005839726427,56.0811220242552,88.11905483591671,90.26022910154279,111.514894736171,100.581175151758,128.042973586767,106.547311751926,
118,KAZ,CM.MKT.LCAP.GD.ZS,4.38454193804872,5.51959951717122,5.23384052458224,7.86769029790771,9.13494680692399,18.431343225006,53.9336480530249,39.463561910019706,17.439694865915698,24.2213982220997,18.016351064015602,11.7000044476354,11.318635569647,11.0838462809705,10.375711024954901,18.923030904595198,29.255322145719198,27.312149719794196,20.6341312929192,
119,KEN,CM.MKT.LCAP.GD.ZS,9.8807927224889,8.0494332531873,10.8862022999441,28.063705906261102,24.174516987842196,34.0699372306769,44.0573427992187,41.756488199357705,30.238344159902802,29.6227771181777,36.152095151948295,24.318891510441198,,,,,,,,
120,KGZ,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
121,KHM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
122,KIR,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
